stamp_sec,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z
1732437229.769960403,0.0034811217337846756,-0.050537191331386566,-0.014736805111169815,-0.5089224576950073,0.007253899239003658,0.8462363481521606
1732437229.774044514,0.007742179557681084,-0.11019200086593628,0.009764276444911957,-0.45203766226768494,0.004324211739003658,0.8765097856521606
1732437229.779619932,-0.0007799370214343071,-0.11445306241512299,0.014025337994098663,-0.38392242789268494,-0.014718757010996342,0.9255820512771606
1732437229.783973217,0.0013505928218364716,-0.050537191331386566,0.0076337456703186035,-0.36194977164268494,-0.03864453732967377,0.9687949419021606
1732437229.789505243,0.007742179557681084,0.04001029208302498,0.002307422459125519,-0.38807281851768494,-0.030099615454673767,0.9663535356521606
1732437229.793746948,-0.005040994845330715,0.09220825135707855,-0.01260627806186676,-0.41297516226768494,-0.006662116385996342,0.8921347856521606
1732437229.799918890,-0.024215754121541977,0.07090295851230621,-0.022193659096956253,-0.47742828726768494,-0.013498053885996342,0.8613730669021606
1732437229.804183006,-0.01888943277299404,0.0027260351926088333,-0.005149427801370621,-0.49647125601768494,-0.029855474829673767,0.8284140825271606
1732437229.809604168,-0.003975730389356613,-0.07290774583816528,0.01935165375471115,-0.45789703726768494,-0.03840039670467377,0.8362265825271606
1732437229.814228773,0.0002853274345397949,-0.12404043972492218,0.024677976965904236,-0.40638336539268494,-0.05866406857967377,0.9082480669021606
1732437229.819467545,0.004546385258436203,-0.11019200086593628,0.009764276444911957,-0.35584625601768494,-0.07941602170467377,0.9644004106521606
1732437229.823801041,0.017329560592770576,-0.022840313613414764,-0.010475747287273407,-0.33924469351768494,-0.07355664670467377,0.9729453325271606
1732437229.830031395,0.01946008764207363,0.08049033582210541,-0.03497683256864548,-0.38026031851768494,-0.03986524045467377,0.9387656450271606
1732437229.833842754,0.00561165064573288,0.1177745908498764,-0.057347387075424194,-0.42933258414268494,-0.013742194510996342,0.8745566606521606
1732437229.839801311,0.0002853274345397949,0.06025031581521034,-0.05628212168812752,-0.45814117789268494,-0.014230475760996342,0.8372031450271606
1732437229.843759298,0.012003237381577492,-0.0398845449090004,-0.027519982308149338,-0.47278961539268494,-0.016916021704673767,0.8589316606521606
1732437229.849756718,0.02265588380396366,-0.09740883111953735,-0.001953631639480591,-0.44251617789268494,-0.014230475760996342,0.8840781450271606
1732437229.853833437,0.02372114546597004,-0.07610353827476501,0.010829538106918335,-0.44788727164268494,-0.006662116385996342,0.9353476762771606
1732437229.859828949,0.009872708469629288,-0.00046975910663604736,0.006568484008312225,-0.43934234976768494,0.012380852364003658,0.9285117387771606
1732437229.863955498,-0.017824169248342514,0.05705452337861061,-0.01260627806186676,-0.44031891226768494,0.016775384545326233,0.8894492387771606
1732437229.869773626,-0.028476811945438385,0.05705452337861061,-0.01686733588576317,-0.46497711539268494,-0.0003144599322695285,0.8635703325271606
1732437229.873981237,-0.013563110493123531,-0.01218766812235117,0.0012421607971191406,-0.46082672476768494,-0.014230475760996342,0.8613730669021606
1732437229.879632711,-0.0007799370214343071,-0.09953935444355011,0.020416922867298126,-0.42542633414268494,-0.025949224829673767,0.8911582231521606
1732437229.883848190,0.004546385258436203,-0.11551831662654877,0.017221130430698395,-0.38343414664268494,-0.03840039670467377,0.9280234575271606
1732437229.889821053,0.01306850090622902,-0.027101371437311172,0.004437953233718872,-0.39515289664268494,-0.031076177954673767,0.9495078325271606
1732437229.893752337,0.0002853274345397949,0.0762292891740799,-0.0200631283223629,-0.39515289664268494,-0.012765632010996342,0.9060508012771606
